epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43092,2.19249,11.315,1.76751,0.15689,0.09163,0.02197,0.00984,1.74278,10.18,1.52072,9.996e-05,9.996e-05,9.996e-05
2,12.5541,1.55265,3.57596,1.3511,0.5423,0.45449,0.27239,0.18339,1.22234,7.88896,1.15404,0.000206876,0.000206876,0.000206876
3,18.6423,1.30466,2.67283,1.2023,0.65578,0.38895,0.47163,0.30405,1.14299,2.82432,1.17378,0.000312362,0.000312362,0.000312362
4,24.5998,1.22357,2.06771,1.16944,0.58074,0.56814,0.55586,0.37373,1.15429,2.23921,1.22714,0.000416418,0.000416418,0.000416418
5,30.3296,1.18032,1.7392,1.16166,0.72966,0.66289,0.70083,0.46765,1.06871,1.8,1.1107,0.000519046,0.000519046,0.000519046
6,36.0072,1.14857,1.55537,1.13247,0.66687,0.64487,0.69435,0.47216,1.02443,1.66564,1.08616,0.000620243,0.000620243,0.000620243
7,41.7126,1.07296,1.38897,1.10215,0.7559,0.55999,0.71773,0.51009,0.96761,1.6723,1.06166,0.000720012,0.000720012,0.000720012
8,47.5171,1.11827,1.35498,1.10668,0.84614,0.6753,0.74657,0.50894,1.13031,1.35485,1.14695,0.000794515,0.000794515,0.000794515
9,53.3002,1.06397,1.22821,1.09468,0.82009,0.7081,0.7528,0.53321,0.9977,1.5029,1.08284,0.000789018,0.000789018,0.000789018
10,59.1305,1.00755,1.12871,1.06507,0.84989,0.67926,0.75108,0.53801,0.93916,1.49486,1.06018,0.00078352,0.00078352,0.00078352
11,64.9978,0.9945,1.00983,1.05787,0.80968,0.73459,0.77735,0.56828,0.93998,1.3355,1.08786,0.000778022,0.000778022,0.000778022
12,70.8372,0.98064,0.97837,1.05131,0.79504,0.76479,0.79186,0.55547,0.99054,1.1912,1.09849,0.000772524,0.000772524,0.000772524
13,76.6515,1.03186,0.91047,1.07331,0.8612,0.72351,0.79647,0.54443,1.1533,1.21149,1.21734,0.000767026,0.000767026,0.000767026
